Symbol,Name
NHC,"National HealthCare Corporation"
PARR,"Par Pacific Holdings, Inc."
MAG,"MAG Silver Corporation"
NXE,"Nexgen Energy Ltd."
GTE,"Gran Tierra Energy Inc."
EIM,"Eaton Vance Municipal Bond Fund"
GLF,"GulfMark Offshore, Inc."
SAND,"Sandstorm Gold Ltd"
REI,"Ring Energy, Inc."
GGN,"GAMCO Global Gold, Natural Reources & Income Trust "
NSU,"Nevsun Resources Ltd"
CET,"Central Securities Corporation"
CLM,"Cornerstone Strategic Value Fund, Inc."
LTS,"Ladenburg Thalmann Financial Services Inc"
MVF,"MuniVest Fund, Inc."
EAD,"Wells Fargo Income Opportunities Fund"
NAK,"Northern Dynasty Minerals, Ltd."
ERN,"Erin Energy Corp."
VKI,"Invesco Advantage Municipal Income Trust II"
NML,"Neuberger Berman MLP Income Fund Inc."
ERC,"Wells Fargo Multi-Sector Income Fund"
TGB,"Taseko Mines Limited"
TRXC,"TransEnterix, Inc."
FEN,"First Trust Energy Income and Growth Fund"
BHB,"Bar Harbor Bankshares, Inc."
KLDX,"Klondex Mines Ltd."
SMTS,"Sierra Metals Inc."
SVM,"Silvercorp Metals Inc."
SENS,"Senseonics Holdings, Inc."
GSV,"Gold Standard Ventures Corporation"
GLO,"Clough Global Opportunities Fund"
CTO,"Consolidated-Tomoka Land Co."
BLE,"BlackRock Municipal Income Trust II"
CRF,"Cornerstone Strategic Return Fund, Inc. (The)"
BTX,"BioTime, Inc."
GSS,"Golden Star Resources, Ltd"
HCAC,"Hennessy Capital Acquisition Corp. III"
DNN,"Denison Mine Corp"
EVI,"EnviroStarm, Inc."
XXII,"22nd Century Group, Inc"
DHY,"Credit Suisse High Yield Bond Fund"
NBH,"Neuberger Berman Intermediate Municipal Fund Inc."
NEN,"New England Realty Associates Limited Partnership"
BRG,"Bluerock Residential Growth REIT, Inc."
FTF,"Franklin Limited Duration Income Trust"
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc."
SGA,"Saga Communications, Inc."
